id_user,timestamp,source,message,category
4844,2024-11-01,livechat,"""What time is it where u are""",general_inquiry
3985,2024-11-01,livechat,"""What happened to the Cashback piggy?""",bonus_issues_general
2578,2024-11-01,livechat,"""Deactivated""",bonus_activation
1040,2024-11-01,telegram,"""It says access issues detected""",account_access
4288,2024-11-01,livechat,"""Im in arizona""",general_inquiry
1039,2024-11-01,telegram,"""My free signup bonus doesn’t work""",account_access
247,2024-11-01,livechat,"""I don't understand what u mean""",general_inquiry
4421,2024-11-01,livechat,"""Im in the us""",general_inquiry
4230,2024-11-01,livechat,"""The bonus of 0.0036... I just added and active but that one isn't showing""",bonus_issues_general
3713,2024-11-01,livechat,"""Okay hopefully I don't have to bother you anymore I apologize.""",general_inquiry
4233,2024-11-01,livechat,"""To withdraw my money I am a continuously paying client""",payment_issues
4117,2024-11-01,livechat,"""may I upload the document here, and you can tell me if it’s alright or not?""",general_inquiry
4468,2024-11-01,livechat,"""Hi can i have my depositing currency changed back to Ethereum please?""",payment_issues
4566,2024-11-01,livechat,"""I am sorry for being so angry but u would be too""",general_inquiry
3848,2024-11-01,livechat,"""ive depoistioed so much everyday""",general_inquiry
4239,2024-11-01,livechat,"""Making sure its to this address""",general_inquiry
1050,2024-11-01,telegram,"""So I basically was undermined and signed up and used my last of my BTC balance to get in with u guys""",payment_issues
1050,2024-11-01,telegram,"""Sorry""",general_inquiry
4105,2024-11-01,livechat,"""It may be that the bonus has been delayed however I want to check as I’ve usually received it by now every week.""",bonus_missing
1053,2024-11-01,telegram,"""I never created another account is it possible someone might have created another account and since it seems that is tr case can you shut it down""",account_access
4659,2024-11-01,livechat,"""I don’t need bonus and I just want to get my desposit""",bonus_issues_general
5062,2024-11-01,livechat,"""I already deposited too many time even I had lost""",bonus_missing
4485,2024-11-01,livechat,"""hey I just wanted to know the time my account will be reopened""",account_access
5132,2024-11-01,livechat,"""On my case, i dont huh?""",general_inquiry
4167,2024-11-01,livechat,"""today about a $100 no deposit bonus""",payment_issues
1059,2024-11-01,telegram,"""I was playing the game 777 slots it took my whole balance and said I have no funds left for my bet which is not right I still had funds in my account this is rediculas and I am not happy at all""",game_problems
4190,2024-11-01,livechat,"""as a side note; david was completely unprofessional and almost seemed drunk""",general_inquiry
4227,2024-11-01,livechat,"""Ok. My card is at home and i am at work. I might play some more, and upload details when i have my card with me again.""",payment_issues
4350,2024-11-01,livechat,"""Then my game was glitched then""",game_problems
4259,2024-11-01,livechat,"""it’s already auto collected the jackpot mania now""",general_inquiry
57,2024-11-01,telegram,"""It shows pending and there is a cancel option""",general_inquiry
4145,2024-11-01,livechat,"""weres my game history""",game_problems
4621,2024-11-01,livechat,"""The limit was €150. I then have to pay out the amount. I would like to continue playing""",game_problems
5147,2024-11-01,livechat,"""right. okay well have a good day, thank you!""",general_inquiry
1122,2024-11-01,telegram,"""I just deposited money and I did one spin and it took it all away all my money's gone how is that""",payment_issues
5232,2024-11-01,livechat,"""that's random haha""",general_inquiry
5047,2024-11-01,livechat,"""in othe convo but my phone died""",general_inquiry
4421,2024-11-01,livechat,"""Hello I placed 9th in jackpot spins for last month""",game_problems
710,2024-11-01,livechat,"""Payment system account used by another user problem""",account_access
4157,2024-11-01,livechat,"""i am concerned""",general_inquiry
406,2024-11-01,telegram,"""Ok Gotit now thx""",general_inquiry
4073,2024-11-01,livechat,"""But on my end it isn’t “pending” it says completed""",general_inquiry
4133,2024-11-01,livechat,"""That percentage. Bar has not moved hundreds dollars sits there does it work""",general_inquiry
4958,2024-11-01,livechat,"""\nNone of those reasons applied to me, so can you please check my deposit?""",payment_issues
2623,2024-11-01,livechat,"""PLEASE CONFIRM I DID NOT QUALIFY FOR WEEKILY CASHBACK""",bonus_eligibility
4411,2024-11-01,livechat,"""All good for now""",general_inquiry
4756,2024-11-01,livechat,"""I wouldn't have wasted my money like that""",payment_issues
4134,2024-11-01,livechat,"""Now it says this when I try to play""",game_problems
4684,2024-11-01,livechat,"""All you said was both my utility bills were dejected!""",general_inquiry
4857,2024-11-01,livechat,"""I don't know what else to give you!""",general_inquiry
4429,2024-11-01,livechat,"""It says my account is disabled""",account_access
4324,2024-11-01,livechat,"""Credit card australian dollars""",payment_issues
1327,2024-11-01,livechat,"""Ok again thx""",general_inquiry
4342,2024-11-01,livechat,"""\nI want to withdraw to telegram wallet""",payment_issues
72,2024-11-01,telegram,"""Never got my free play after my last bitcoin deposit""",bonus_missing
4938,2024-11-01,livechat,"""Sweet I’ll just report it then""",general_inquiry
5391,2024-11-01,livechat,"""I live in the USA""",general_inquiry
1666,2024-11-02,livechat,"""I got kicked off the game and when I lived back in it wwast there""",game_problems
4640,2024-11-02,livechat,"""Send me to someone else""",general_inquiry
4834,2024-11-02,livechat,"""I’m sorry what is the fiat view""",general_inquiry
5266,2024-11-02,livechat,"""None of this applies to me.""",technical_errors
5050,2024-11-02,livechat,"""ok as you say.""",general_inquiry
2782,2024-11-02,livechat,"""If you don't mind checking please""",general_inquiry
5514,2024-11-02,livechat,"""I cant enter website""",technical_errors
4741,2024-11-02,livechat,"""Oh okay then, thanks for help tho!, that was All I had 🙂""",general_inquiry
4729,2024-11-02,livechat,"""Is there 100 free spin sign up bonus""",account_access
5152,2024-11-02,livechat,"""because they were credited immediately then""",bonus_missing
5465,2024-11-02,livechat,"""What time did I make the deposit""",payment_issues
4747,2024-11-02,livechat,"""that’s why I chatted in to ask when they’d be credited.  I don’t have special needs, if they were showing as expired I wouldn’t ask when they’ll be credited.  I would’ve asked for an exception""",bonus_missing
4507,2024-11-02,livechat,"""maybe I bet too much""",game_problems
1498,2024-11-02,livechat,"""it was buy bonues""",general_inquiry
5256,2024-11-02,livechat,"""Are you guys gonna put money in my fucking account because of your game glitching I bet fucking not""",game_problems
268,2024-11-02,telegram,"""I was. Credited 60 an I activated it but it d not showing up""",bonus_activation
4954,2024-11-02,livechat,"""No that's all""",general_inquiry
752,2024-11-02,livechat,"""I had wagered through""",general_inquiry
4566,2024-11-02,livechat,"""can i get some free spins please""",freespins_issues
5098,2024-11-02,livechat,"""The spins wasn’t working so I canceled them bc I thot it would come thru after..""",game_problems
1934,2024-11-02,livechat,"""Hello Paul""",general_inquiry
2318,2024-11-02,livechat,"""Deactivated""",bonus_activation
4737,2024-11-02,livechat,"""It even said it on your signup page""",account_access
4495,2024-11-02,livechat,"""It went straight to you""",general_inquiry
5474,2024-11-02,livechat,"""Can you send me new ppasdword""",general_inquiry
4526,2024-11-02,livechat,"""I need to speak with someone higher up cause this is bs""",general_inquiry
1861,2024-11-02,livechat,"""I was wondering how to I claim the second part of my welcome package? Last time for the first part you guys manually entered my free spins""",bonus_eligibility
5237,2024-11-02,livechat,"""entering into our country and stealing the money. it's a violation to the country laws and harming the country economy and potentially committing financial frauds and thefts""",payment_issues
302,2024-11-02,telegram,"""Expired. I just received them a few days ago. I cannot use them until I am either out of funds or cash out correct? I work on receiving those by playing real money. Why would they expire so quickly before I get a chance to use them?""",payment_issues
302,2024-11-02,telegram,"""Hello, I had 20, 30 & 75 free spins. They have been removed from my account. Please advise.""",freespins_issues
4668,2024-11-02,livechat,"""Hi was in a bonus and it didn’t pay me my winnings""",bonus_issues_general
2047,2024-11-02,livechat,"""It was to u guys""",general_inquiry
5045,2024-11-02,livechat,"""Ok thankyou""",general_inquiry
1232,2024-11-02,telegram,"""I tried to withdrawl money from your site it says on my transactiion it was cancelled""",payment_issues
176,2024-11-02,telegram,"""Hello I know how to find the equivalent code the second three bonuses and I do not know how to do please and we hope to help""",bonus_activation
176,2024-11-02,telegram,"""I wish to help me to know where the reward code is""",bonus_activation
2939,2024-11-02,livechat,"""I sent 6 or 7 yesterday""",general_inquiry
5662,2024-11-02,livechat,"""One second I'll get it for you""",general_inquiry
68,2024-11-02,telegram,"""I figured :/ thanks anyways ❤️""",general_inquiry
2947,2024-11-02,livechat,"""About the VIP program""",general_inquiry
5657,2024-11-02,livechat,"""Do you have a data leak? Why am i getting this""",general_inquiry
1213,2024-11-02,telegram,"""I never received my deposit from moonpay""",bonus_missing
1833,2024-11-02,livechat,"""Where and how?""",general_inquiry
4760,2024-11-02,livechat,"""I cant ringt in english  sorry bur you can translater""",general_inquiry
1277,2024-11-02,telegram,"""what other accounts are linked""",account_access
5104,2024-11-02,livechat,"""It’s not about that it’s about the algorithm""",general_inquiry
6142,2024-11-02,livechat,"""I appreciate that was just sensing to cover my basis thanks again I’ll be despairing again soon gotta get that next level lol""",technical_errors
5642,2024-11-02,livechat,"""I would like to close/delete my account""",account_access
4785,2024-11-02,livechat,"""I have been using this site long time so I know when to get them or what not""",technical_errors
5493,2024-11-02,livechat,"""n then its not there""",general_inquiry
1468,2024-11-02,livechat,"""Can you say me where is my lvl up bonus?""",bonus_missing
3772,2024-11-02,livechat,"""It has been over an hour""",general_inquiry
5055,2024-11-02,livechat,"""I think i dont get them :(""",general_inquiry
